ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
OSYNG,¦¨¤H,Clcr,50.00,79.00,mL/min,mL/min,Initial and maximum dose: Decrease to 2/3 of the normal daily dose administered in 2 to 3 divided doses.,,202001081116,202303091001
OTAI,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,µÇ¥\¯à¤£¥þ¡G¤¤«×¦Ü­««×µÇ¥\¯à¤£¥þ¯f¤H¤Î¥½´ÁµÇÅ¦¯e¯f¡]ESRD¡^¯f¤H¤£«ØÄ³¨Ï¥Î¥»ÃÄ«~¡C,¥é³æ,202301111655,202303090959
OTAI,¦¨¤H,Clcr,60.00,90.00,mL/min,mL/min,»´«×µÇ¥\¯à¤£¥þ¯f¤H¡]¦Ù»ÄÓþ²M°£²v¡iCLcr¡j60~90 mL/min¡^¤£¶·½Õ¾ã¥ÎÃÄ¾¯¶q¡C,¥é³æ,202301111655,202301111656
OTAM7,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:30 mg orally immediately¡A then 30 mg after every hemodialysis cycle; treatment duration not to exceed 5 days from the time of the initial dose,,,202303090958
OTAM7,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,30 mg orally once daily for 5 days,,,202303090958
OTAM7,¦¨¤H,Clcr,30.00,59.99,mL/min,mL/min,30 mg orally twice daily for 5 days,,,202303090958
OTAMI,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:30 mg orally immediately¡A then 30 mg after every hemodialysis cycle; treatment duration not to exceed 5 days from the time of the initial dose,,,202303090958
OTAMI,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,30 mg orally once daily for 5 days,,,202303090958
OTAMI,¦¨¤H,Clcr,30.00,59.99,mL/min,mL/min,30 mg orally twice daily for 5 days,,,202303090958
OTAN,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,«ØÄ³±N±`¥Î¾¯¶q´î¥b©Î±N§ë»P¶¡¹j©µªø,,201804121553,201804121553
OTENO,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,³Ì°ª¾¯¶q:25 mg ORALLY once daily,,201804121455,201804121455
OTENO,¦¨¤H,Clcr,15.00,35.00,mL/min,mL/min,³Ì°ª¾¯¶q:50 mg ORALLY once daily,,201804121454,202303091001
OTET2,¦¨¤H,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,Administer recommended dose based on indication every 24 hours.,,201812171106,202303091001
OTET2,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,Administer recommended dose based on indication every 12 to 24 hours.,,201812171105,202303091000
OTET3,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Avoid use; if necessary¡A 250-500mg q24h (CCR<10 & Hemodialysis & CAPD),Sanford Guide 20230712,202307121544,202307121547
OTET3,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,250-500mg q12-24h,Sanford Guide 20230712,202307121543,
OTET3,¦¨¤H,Clcr,51.00,90.00,mL/min,mL/min,250-500mg q8¡V12h,Sanford Guide 20230712,202307121542,202307121543
OTET3,¦¨¤H,Clcr,91.00,999.00,mL/min,mL/min,250¡V500mg q6h,Sanford Guide 20230712,202307121546,202307121546
OTON,¦¨¤H,Clcr,0,3.00,mL/min,mL/min,100 mg orally at extended intervals,,201804142316,201804142316
OTON,¦¨¤H,Clcr,3.00,10.00,mL/min,mL/min,Do not exceed 100 mg orally daily,,201804142315,202303091000
OTON,¦¨¤H,Clcr,10.00,20.00,mL/min,mL/min,200 mg orally daily,,201804142315,202303091000
OTOP5,¦¨¤H,Clcr,0,70.00,mL/min,mL/min,Use 50% of the usual adult dosage,,201804160505,201804160505
OTRA2,¦¨¤H,Scr,1.36,2.83,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose twice daily,,201804231440,202303090959
OTRA2,¦¨¤H,Scr,2.83,5.66,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose once daily,,201804231440,202303091001
OTRA2,¦¨¤H,Scr,5.67,99.00,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose every 48 hours or 5 mg/kg/dose once daily,,201804231441,202303090959
OTRCT,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¼W¥[¥»«~ªºµ¹ÃÄ¶¡¹j¡A¨C12¤p®É¤£­n¶W¹L¨â¿õ¡C,¥é³æ,202201111150,202201111151
OTRCT,¦¨¤H,Clcr,0,30.01,mL/min,mL/min,Do not exceed 2 tablets every 12 hours,Micromedex 20220111,202201111149,202201111150
OTRIL,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ªvÀø¾¯¶qÀ³¬°¤@¯ë°_©l¾¯¶qÀ³¬°¤@¥b(¨C¤Ñ300mg)¡A¦A³vº¥¼W¥[¾¯¶q¥H¹F¨ì²z·QªºÁ{§É®ÄªG,,201804160425,201804160425
OTRO,¦¨¤H,Clcr,0,70.00,mL/min,mL/min,Use 50% of the usual adult dosage,[Micromedex 20200703],202007051227,202007051230
OTRO,¦¨¤H,Clcr,0,69.99,mL/min,mL/min,¦bµÇ¥\¯à¤£¥þ¡]¦Ù»ÄÓþ²M°£²v§C©ó 70 mL/min/1.73 m2¡^±wªÌ¤¤¡A«ØÄ³¨Ï¥Î¤@¯ë¦¨¤H¥Î¾¯¶qªº¤@¥b¡C,[¥é³æ],202007011643,202007051229
OTS1,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¯×±wªÌÀ³Äµ·V§ë»P (¦]5-FU¥NÁÂžJ§í¨î¾¯gimeracil©ó§¿²G¤¤¤§±Æ°£´î¤Ö¡A¨Ï5-FU¦å¤¤¿@«×¤W¤É),ÄY­«µÇ¥\¯à»ÙÃª±wªÌ¤£«ØÄ³¨Ï¥Î,201804261602,201804261605
OUFR,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,500 to 1000 mg orally every 24 hours (extended-release tablet),,201804160415,201804160415
OUFR,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,500 to 1500 mg orally every 24 hours (extended-release tablet),,201804160415,202303090959
OUFR,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,1000 to 2000 mg orally every 24 hours (extended-release tablet),,201804160415,202303091001
OUFU,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤§±wªÌÀ³Äµ·V§ë»P(°Æ§@¥Î¥i¯à¥[­«),,201804261608,201903031533
OULT,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,«ØÄ³¼W¥[µ¹ÃÄ¶¡¹j¡A¨C12¤p®É¤£­n¶W¹L¨â¿õ,,201804141535,202303091000
OURA,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,20 mg orally once daily at bedtime,,201804212351,201804212351
OURI2,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÄY­«µÇ¥\¯à»ÙÃªªÌ¤£«ØÄ³¨Ï¥Î,,201804212324,201804212324
OURI2,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,«ØÄ³¥H§C¾¯¶q 2 mg ¤@¤Ñ¨â¦¸ §@¬°ªvÀøªº¶}©l¾¯¶q,,201804212321,202303091001
OURI2,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,»´«×µÇ¥\¯à»ÙÃªªÌµL¶·½Õ¾ã¾¯¶q,,201804212322,201804212322
OURI8,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,ÄY­«µÇ¥\¯à»ÙÃªªÌ¤£«ØÄ³¨Ï¥Î,,201904080914,202303091002
OURI8,¦¨¤H,eGFR,30.00,50.00,mL/min/1.73m2,mL/min/1.73m2,«ØÄ³¥H§C¾¯¶q 2 mg ¤@¤Ñ¨â¦¸ §@¬°ªvÀøªº¶}©l¾¯¶q,,201904080913,202303091002
OURI8,¦¨¤H,eGFR,50.00,80.00,mL/min/1.73m2,mL/min/1.73m2,»´«×µÇ¥\¯à»ÙÃªªÌµL¶·½Õ¾ã¾¯¶q,,201904080913,202303091000
OUROD,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,do not use if GFR less than 50 mL/min,Micromedex 20210913,202109131600,202109131609
OUROD,¦¨¤H,eGFR,50.00,99.00,mL/min/1.73m2,mL/min/1.73m2,increase dosing interval to every 8 to 16 hours.,Micromedex 20210913,202109131600,202109131610
OUROP,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Avoid use,Micromedex 20200703,201804212354,202007030854
OUROP,¦¨¤H,eGFR,50.00,99.00,mL/min/1.73m2,mL/min/1.73m2,increase dosing interval to every 8 to 16 hours (Micromedex 20200703) 100 to 200 mg every 8 to 12 hours (UpToDate 20200703),,201804212353,202007030856
OVAL,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:±aª¬¯p¯l:¤@¤Ñ¤@¦¸¡A¨C¦¸1000mg;³æ¯Â¯p¯l:¤@¤Ñ¤@¦¸¡A¨C¦¸500mg;³æ¯Â¯p¯l¤§¹w¨¾:¤@¤Ñ¤@¦¸¡A¨C¦¸250mg(§K¬Ì°·¥þ)¡A¤@¤Ñ¤@¦¸¡A¨C¦¸500mg(§K¬Ì¤£¥þ);¶·¦b¦å²G³zªR§¹µ¹ÃÄ,,,202303090958
OVAL,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,±aª¬¯p¯l:¤@¤Ñ¤@¦¸¡A¨C¦¸1000mg;³æ¯Â¯p¯l:¤@¤Ñ¤@¦¸¡A¨C¦¸500mg;³æ¯Â¯p¯l¤§¹w¨¾:¤@¤Ñ¤@¦¸¡A¨C¦¸250mg(§K¬Ì°·¥þ)¡A¤@¤Ñ¤@¦¸¡A¨C¦¸500mg(§K¬Ì¤£¥þ),,,202303090958
OVAL,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,±aª¬¯p¯l:¤@¤Ñ¨â¦¸¡A¨C¦¸1000mg;³æ¯Â¯p¯l:¤@¤Ñ¨â¦¸¡A¨C¦¸500mg;³æ¯Â¯p¯l¤§¹w¨¾:¤@¤Ñ¨â¦¸¡A¨C¦¸250mg(§K¬Ì°·¥þ)¡A¤@¤Ñ¨â¦¸¡A¨C¦¸500mg(§K¬Ì¤£¥þ),,,202303090958
OVEM,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,Use is not recommended.,,201812200952,202303091000
OVEP,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,Data not available; consider further dose reductions,,201804301530,202303091001
OVEP,¦¨¤H,Clcr,15.00,50.00,mL/min,mL/min,Administer 75% of dose,,201804301530,202303091000
OVEP5,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,Data not available; consider further dose reductions,,201811051114,202303091002
OVEP5,¦¨¤H,Clcr,15.00,50.00,mL/min,mL/min,Administer 75% of dose,,201811051115,201811051115
OVERZ,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,There are no dosage adjustments provided in the manufacturer¡¦s labeling (has not been studied).,[¥é³æ]©|¤£²M·¡abemaciclib¦b­««×µÇÅ¦¥\¯à¤£¥þ(CLcr<30 mL/min)¡B¥½´ÁµÇÅ¦¯e¯f©Î±µ¨ü³zªR¯f¤HªºÃÄª«°Ê¤O¾Ç¼Æ¾Ú¡C,202206201121,202206201123
OVERZ0,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,There are no dosage adjustments provided in the manufacturer¡¦s labeling (has not been studied).,[¥é³æ]©|¤£²M·¡abemaciclib¦b­««×µÇÅ¦¥\¯à¤£¥þ(CLcr<30 mL/min)¡B¥½´ÁµÇÅ¦¯e¯f©Î±µ¨ü³zªR¯f¤HªºÃÄª«°Ê¤O¾Ç¼Æ¾Ú¡C,202210241656,202206201123
OVES,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,«ØÄ³¾¯¶q: 75 mg every 12 hours,,201804131628,201804131629
OVES,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,«ØÄ³¾¯¶q: 150 mg every 24 hours,,201804131629,201804131630
OVESI,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,­««×µÇ¥\¯à»ÙÃªªÌ­nÂÔ·Vµ¹ÃÄ¡A¨C¤é¤£¥i¦h©ó 5 mg,¬~µÇ±wªÌ¤£«ØÄ³¨Ï¥Î,201804212335,201804212337
OVESI,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,»´«×¤Î¤¤«×µÇ¥\¯à»ÙÃªªÌµL¶·½Õ¾ã¾¯¶q,,201804212326,202303091000
OVGR1,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌªº²M°£²v·|¤U­°¡A¦]¦¹À³¦Ò¼{¨Ï¥Î25 mgªº°_©l¾¯¶q¡C°ò©óÃÄ®Ä¤Î­@¨ü©Êªº¦Ò¶q¡A¾¯¶q¥i´£°ª¦Ü50 mg©Î100 mg,,201804212234,202303091001
OVGRO,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¨ü·l¤§±wªÌªº²M°£²v·|¤U­°¡A¦]¦¹À³¦Ò¼{¨Ï¥Î25 mgªº°_©l¾¯¶q¡C°ò©óÃÄ®Ä¤Î­@¨üªº¦Ò¶q¡A¾¯¶q¥i´£°ª¦Ü50 mg©Î100 mg,,201804212238,201804212238
OVIA1,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þªÌ¡AÀ³¦bÂåÅ@ºÊ·þ¤Uµ¹»P,,201804191421,201804191421
OVIM,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¥i¦³®Ä²M°£¦å¼ß¤¤ªº Lacosamide¡C4 ¤p®Éªº¦å²G³zªRªvÀø«á¡AÀ³¦Ò¼{¸É¥R³Ì¦h 50%ªº¾¯¶q¡C,¥é³æ,202008041021,202008031607
OVIM,¦¨¤H,Clcr,0.01,0,mL/min,mL/min,Removed by hemodialysis; after 4-hour hemodialysis treatment¡A a supplemental dose of up to 50% should be considered.,UpToDate 20200803,202008041021,202008031611
OVIM,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,CrCl <30 mL/minute: Reduce dose to 75% of the maximum dose.,UpToDate 20200803,202008041021,202008031611
OVIM,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,CLCR§C©ó30²@¤É/¤ÀÄÁ/1.73¤½¤Ø2:«ØÄ³´î¤Ö³Ì¤j¾¯¶qªº25%¡C,¥é³æ,202008041022,202008031607
OVIM,¦¨¤H,Clcr,60.00,29.99,mL/min,mL/min,CrCl >=30 mL/minute: No dosage adjustment necessary.,UpToDate 20200803,202008041022,202008031613
OVIR3,¦¨¤H,Clcr,0,9.00,mL/min,mL/min,¦å²G³zªR±wªÌ:300mg¡Aµ¹ÃÄ¶¡¹j¨C7¤Ñ¤@¦¸;©ÎªÌ¶i¦æ³zªRªº12¤p®É«á,,,202303090958
OVIR3,¦¨¤H,Clcr,10.00,29.00,mL/min,mL/min,300mg¡Aµ¹ÃÄ¶¡¹j¨C72¦Ü96¤p®É,,,202303090958
OVIR3,¦¨¤H,Clcr,30.00,49.00,mL/min,mL/min,300mg¡Aµ¹ÃÄ¶¡¹j¨C48¤p®É,,,202303090958
OVIR3,¦¨¤H,Clcr,50.00,200.00,mL/min,mL/min,300mg¡Aµ¹ÃÄ¶¡¹j¨C24¤p®É,,,202303090958
OVIS2,¦¨¤H,Clcr,0,0,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þ±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804242316,201804242316
OVOC,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,­««×µÇ¥\¯à¤£¥þªº¯f¤H¤£«ØÄ³¨Ï¥ÎºÖ¬P©w½¤¦ç¿õ20mg¨C¤Ñ2¦¸¡C Severe impairment (estimated GFR less than 30 mL/min): Avoid use,¥é³æ¡BMicromedex (2022.10.05),202210051957,202210051959
OVYT,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¨C¤é¾¯¶q¶W¹L 10/10mg ®É¡AÀ³¤p¤ß¨Ï¥Î,,201804130742,201804130742
OWELX,¦¨¤H,eGFR,0,90.00,mL/min/1.73m2,mL/min/1.73m2,Consider reducing dose and/or frequency of dosing,,201804160332,202303091000
OWIT1,¦¨¤H,Clcr,5.00,29.00,mL/min,mL/min,reduce dosage to 5 mg orally twice daily,Micromedex 2020.06.18,202006181220,202006181222
OWIT1,¦¨¤H,Clcr,30.00,80.00,mL/min,mL/min,No adjustment necessary,Micromedex 2020.06.18,202006181221,202006181222
OXAR,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,Avoid use.,,201804191202,202303091000
OXAR,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,Nonvalvular atrial fibrillation:15 mg once daily with the evening meal,¥é³æ«ØÄ³Á×§K¨Ï¥Î,201911251230,201911251234
OXAR,¦¨¤H,Clcr,15.00,50.00,mL/min,mL/min,Nonvalvular atrial fibrillation:15 mg once daily with the evening meal,,201804191203,202303091002
OXAR1,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,Avoid use.,,201804191211,202303091001
OXAR1,¦¨¤H,Clcr,15.00,50.00,mL/min,mL/min,Nonvalvular atrial fibrillation:15 mg once daily with the evening meal.,,201804191211,202303091001
OXAR25,¦¨¤H,Clcr,14.99,0,mL/min,mL/min,CrCl less than 15 mL/min: Avoid use,Micromedex 20201217,202012171447,202012180919
OXAR25,¦¨¤H,Clcr,15.00,0,mL/min,mL/min,CrCl < 15 mL/min ¤§¯f¤H¸T¤î¨Ï¥Î¥»«~¡C,¥é³æ,202012171445,202303091002
OXEL,¦¨¤H,Clcr,0,29.90,mL/min,mL/min,Use is contraindicated.,,201803191621,202303091001
OXEL,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Reduce dose to 75% of usual dose.,,201803191620,202303090959
OXELJ,¦¨¤H,eGFR,0,59.99,mL/min/1.73m2,mL/min/1.73m2,Moderate to severe impairment: Reduce dose to 5 mg (immediate release) once daily. A supplemental dose after dialysis is not necessary in patients with severe impairment on dialysis.,,201804231707,202303090940
OXIG,¦¨¤H,eGFR,0,45.00,mL/min/1.73m2,mL/min/1.73m2,Á×§K¨Ï¥Î,,202002101136,202002101136
OXIG,¦¨¤H,eGFR,46.00,99.00,mL/min/1.73m2,mL/min/1.73m2,µL¶·½Õ¾ã¾¯¶q,,201812261205,202002101136
OXOFL,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¥Ø«e©|µL­««×µÇ¥\¯à¤£¥þ¯f±w(CrCl <30 mL/min)§ë»P¥»ÃÄ«áªºÃÄª«°Ê¤O¾Ç¸ê®Æ¡C,¥é³æ 20230827,202001071010,202308271646
OXOFL,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,»´«×©Î¤¤«×µÇ¥\¯à¤£¥þ(CrCl >=30 mL/min)ªº±wªÌ¡A¤£»Ý­n½Õ¾ã¾¯¶q¡C,¥é³æ 20230827,202001071011,202308271646
OXTA,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Preexisting severe impairment (CrCl <30 mL/minute)¡A including end-stage renal disease (ESRD): There are no dosage adjustments provided in the manufacturer's labeling.,,201803301704,201803301705
OXTA,¦¨¤H,Clcr,30.00,89.00,mL/min,mL/min,Preexisting mild-to-moderate impairment (CrCl 30 to 89 mL/minute): No initial dosage adjustment necessary.,,201803301706,201803301705
OXTA40,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,»´«×©Î¤¤«×µÇ¥\¯à¤£¥þ¯f¤HµL¶·½Õ¾ã¾¯¶q¡C­««×µÇ¥\¯à¤£¥þ©Î¥½´ÁµÇ¯f¯f¤HÀ³¤p¤ß¨Ï¥Î¡C,¥é³æ 20240708,202407081939,202407081941
OXYZ,¦¨¤H,Clcr,0,14.90,mL/min,mL/min,Hemodialysis: Use is contraindicated.,¥é³æ 20240528,201804231521,202405281554
OXYZ,¦¨¤H,Clcr,15.00,29.90,mL/min,mL/min,5 mg every 3 days (¤£»Ý­n³zªRªÌ),¥é³æ 20240528,202405281554,202405281555
OXYZ,¦¨¤H,Clcr,30.00,59.90,mL/min,mL/min,5 mg QOD,¥é³æ 20240528,201804231520,202405281554
OYAZ,¦¨¤H,Clcr,0,49.99,mL/min,mL/min,µÇ¥\¯à¨ü·l¯f¤H¸T¤î¨Ï¥ÎYAZ,¥é³æ 20240527,201804231351,202405271621
OZAN,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¸T¥Î©ó¦³­««×¤§¨x¥\¯à¤£¥þ¯f¤H©Î­««×µÇ¥\¯à¤£¥þ¯f¤H(GFR < 30 ml/min)¡A¥]¬A¥¿¦b±µ¨ü¦å²G³zªR©Î¸¡½¤³zªRªº¯f¤H,¥é³æ,201804121532,202007290924
OZAN,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,¥»ÃÄ´¿¦b¸¡½¤³zªR¯f¤H¨­¤W¥X²{²V¿Bªº¸¡½¤³zªR¬y¥X²G¡C¦¹²V¿B²{¶H»F¦]©ó¸¡½¤³zªR¬y¥X²G¤¤¸û°ªªº¤T»Ä¥Ìªoà­¿@«×¡C¾÷¨î¤£©ú¡A¦ý¦¹°±¥Îlercanidipne«á¨³³t®ø¥¢¡C¦³¥i¯à±N²V¿Bªº¸¡½¤³zªR¬y¥X²G»~»{¬°·P¬V©Ê¸¡½¤ª¢¡A¶i¦Ó³y¦¨¤£¥²­nªº¦í°|¤Î¸gÅç©Ê§Ü¥Í¯À¬I¥Î¡C,¥é³æ,202007290931,202007290934
OZCO,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling.,,201804191026,202303091001
OZES,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,°_©l¾¯¶q¬°2.5 mg/¤Ñ,¥]§t³zªR¯f¤H,201804121600,201804121601
OZES,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,°_©l¾¯¶q¬°2.5~5 mg/¤Ñ,,201804121600,202303090959
OZES,¦¨¤H,Clcr,31.00,80.00,mL/min,mL/min,°_©l¾¯¶q¬°5~10 mg/¤Ñ,,201804121559,202303090959
OZIT,¦¨¤H,Clcr,0,9.00,mL/min,mL/min,À³ÂÔ·V¥ÎÃÄ,,,202303090958
OZIT,¦¨¤H,Clcr,10.00,80.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,,,202303090958
OZON1,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ±wªÌªvÀø®ÉÀ³ÂÔ·V¡A¥i¯à»Ý­n´îºC½Õ°ªzonisamide¾¯¶qªº³t«×,,201804160511,201804160511
OZUL,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,Hemodialysis: Initial¡A 1 mg orally once daily; MAX¡A 2 mg/day,Micromedex 2020/06/08,202006081158,202006081158
OZUL,¦¨¤H,eGFR,15.00,29.00,mL/min/1.73m2,mL/min/1.73m2,severe¡A GFR 15 to 29 ¡A not receiving hemodialysis: Initial¡A 1 mg orally once daily; MAX¡A 2 mg/day,Micromedex 2020/06/08,202006081159,202006081159
OZUL,¦¨¤H,eGFR,30.00,59.00,mL/min/1.73m2,mL/min/1.73m2,moderate¡A GFR 30 to 59: Initial¡A 1 mg orally once daily; MAX¡A 2 mg/day,Micromedex 2020/06/08,202006081200,202006081159
